ID;Nome;Sexo;Idade;Estado Civil;Identidade;CPF;Cidade;UF;Região;Nº Filhos;Altura;Peso;Saúde;Signo;Telefone Celular;Uso do Celular;Internet;E-mail;Banco;Saldo em Conta;Cartão de Crédito;Dívida no Cartão;TV;Gosta de Games;Gosta de Filmes;Lê Livros;Casa Própria;Ocupação ou Trabalho;Carro;Marca do Carro;Custo Combustivel Mensal;Comida;Ir ao Restaurante;Fruta;Flor;Animal;Esporte;Time de Futebol;Escola do Filhos;Mensalidade Escola;
id-0000000;Davi Miguel;Masculino;39;Divorciado;W291562889;50842404973;Mandaguari;PR;Região Sul;1;1,76;71;Não Alérgico;Leão;990181715;Whatsapp;4G;davimiguel_465@uol.com;Caixa Econômica;103560;Hipercard;Sim;TV por assinatura;Não Gosta;Gosta;Toda semana;Alugada;Eletrotécnica Industrial;XEF;Gurgel;215;Batata doce assada;Não Gosta;Cabeludinha;Laurotino;Pavão;Ginástica;União Cacoalense;Pública;0;
id-0000001;Ana Lívia;Feminino;48;Solteira;Y765752792;24541325921;Matias Barbosa;MG;Região Sudeste;2;1,71;108;Alérgica;Peixes;948010201;Celular;4G;analivia_123@terra.com;Santander;404354;Diners Club;Sim;TV por assinatura;Gosta;Gosta;Toda semana;Própria;Animação;UX;Lexus;154;Pintando na brasa;Não Gosta;Umê;Begônia-asa-de-anjo;Papa-formigas;Esportes de Aventura;URT;Particular;579;
id-0000002;André;Masculino;48;Divorciado;W714623985;63674782056;Cabaceiras do Paraguaçu;BA;Região Nordeste;3;1,80;102;Alérgico;Leão;971525036;Whatsapp;Banda Larga;andre@gmail.com;Banco do Brasil;82797;Diners Club;Sim;TV aberta;Não Gosta;Não Gosta;Toda semana;Emprestada;Administração Pública;C3;Citroën;106;Broa de milho;Não Gosta;Ameixa;Cravina Cravo;Coiote;Futebol Americano;Jamaica;Particular;436;
id-0000003;Benjamin;Masculino;27;Divorciado;W141665927;42139270578;Tejupá;SP;Região Sudeste;3;1,84;83;Alérgico;Peixes;995403695;Whatsapp;Não tem internet;benjamin@terra.com;Banco do Brasil;747527;Visa;Não;TV por assinatura;Não Gosta;Gosta;Raramente;Emprestada;Ciência e Tecnologia de Alimentos;D-10 ;Chevrolet;116;Melão de Mossoró-RN;Não Gosta;Pêssego ;Tritônia;Tatu;Levantamento de Peso;Eibar;Particular;552;
id-0000004;Eloá;Feminino;67;Solteira;Y602348406;93125419548;Lajeado Grande;SC;Região Sul;3;1,62;64;Alérgica;Sagitário;913072395;Celular;Wifi;eloa_542@yahoo.com;Itaú;492440;American Express;Sim;TV aberta;Não Gosta;Não Gosta;Raramente;Emprestada;Gestão da Tecnologia da Informação;Classe G;Mercedes-Benz;133;Torta de liquidicador;Gosta;Massala;Gardênia;Doninha;Beisebol;Aparecidense;Particular;454;
id-0000005;Kauê;Masculino;79;Divorciado;W251286864;81021257778;Vitória Das Missões;RS;Região Sul;2;1,73;85;Não Alérgico;Câncer;938275313;Celular;Banda Larga;kaue_695@uol.com;Caixa Econômica;450512;Elo;Não;TV por assinatura;Gosta;Gosta;Não;Emprestada;Alimentos;Alpini G 59 Grand Prix;Nobre;163;Pizza assado no forno à lenha;Não Gosta;Buriti;Violeta;Guanaco;Padel;CRB;Particular;509;
id-0000006;Isabel;Feminino;69;Divorciada;M335641142;99227886419;Panamá;GO;Região Centro-Oeste;4;1,73;69;Alérgica;Peixes;913676095;Whatsapp;Banda Larga;isabel@gmail.com;Caixa Econômica;393749;American Express;Não;TV pela internet;Não Gosta;Não Gosta;Uma vez por mês;Própria;Ecologia;GTI;Puma;117;Pintando na brasa;Não Gosta;Jerivá;Centáurea;Pato-real;Tênis;Huddersfield;Pública;0;
id-0000007;Maria;Feminino;44;Casada;Y476446233;26604029743;Delta;MG;Região Sudeste;0;1,73;97;Não Alérgica;Escorpião;998276342;Whatsapp;Wifi;maria_575@uol.com;Banco do Brasil;862408;Mastercard;Sim;TV pela internet;Gosta;Não Gosta;Raramente;Emprestada;Naturologia;AC2000;Adamo;321;Canjica doce;Gosta;Azeitona ;Sapatinho-do-diabo;Barata;Bilhar;Almirante Barroso;Não;x;
id-0000008;Fabrícia;Feminino;54;Casada;M302385566;26625471764;Rafael Godeiro;RN;Região Nordeste;0;1,87;101;Alérgica;Sagitário;966112566;Celular;4G;fabricia_596@yahoo.com;Banco do Brasil;706978;Diners Club;Sim;TV aberta;Não Gosta;Gosta;Não;Própria;Engenharia da Computação;Fusca Cabriolet;Avallone;89;Galinhada com pequi;Gosta;Pupunha;Camélia;Aardvark;Luta Livre;Chile;Não;x;
id-0000009;Júlia;Feminino;21;Divorciada;R946384734;23402638153;Taquaraçu de Minas;MG;Região Sudeste;4;1,92;64;Não Alérgica;Leão;929088957;Whatsapp;Wifi;julia@gmail.com;Bradesco;734933;American Express;Sim;TV aberta;Não Gosta;Gosta;Raramente;Alugada;Pedagogia;QQ;Chery;303;Mandioca frita;Gosta;Macadâmia;Rosa;Cação;Esgrima;Águia de Marabá;Particular;337;
